"congress_names","no_of_days","total_bills_filed","national_bills","local_bills","authored_bills","co_authored_bills","enacted_bills","national_bills_prop","local_bills_prop","authored_bills_prop","co_authored_bills_prop","enacted_bills_prop"
"ABAD, HENEDINA R.",46,36,34,2,10,26,4,0.944444444444444,0.0555555555555556,0.277777777777778,0.722222222222222,0.111111111111111
"ABAYA, FRANCIS GERALD A.",43,56,44,12,22,34,14,0.785714285714286,0.214285714285714,0.392857142857143,0.607142857142857,0.25
"ABAYON, HARLIN C.",108,227,224,2,85,141,68,0.986784140969163,0.00881057268722467,0.374449339207048,0.621145374449339,0.299559471365639
"ABELLANOSA, RODRIGO A.",78,98,92,6,14,83,23,0.938775510204082,0.0612244897959184,0.142857142857143,0.846938775510204,0.23469387755102
"ABU, RANEO E.",90,99,80,19,15,84,22,0.808080808080808,0.191919191919192,0.151515151515152,0.848484848484849,0.222222222222222
"ABUEG, FREDERICK F.",134,224,134,90,68,156,26,0.598214285714286,0.401785714285714,0.303571428571429,0.696428571428571,0.116071428571429
"ACEDILLO, FRANCISCO ASHLEY L.",126,174,169,5,62,111,22,0.971264367816092,0.028735632183908,0.35632183908046,0.637931034482759,0.126436781609195
"ACHARON, PEDRO JR. B.",77,91,76,15,13,78,16,0.835164835164835,0.164835164835165,0.142857142857143,0.857142857142857,0.175824175824176
"ACOP, ROMEO M.",81,76,63,13,17,58,21,0.828947368421053,0.171052631578947,0.223684210526316,0.763157894736842,0.276315789473684
"ACOSTA-ALBA, MARIA LOURDES",79,86,76,10,14,71,16,0.883720930232558,0.116279069767442,0.162790697674419,0.825581395348837,0.186046511627907
"ADIONG, ANSARUDDIN A.M. A.",67,68,44,24,18,50,12,0.647058823529412,0.352941176470588,0.264705882352941,0.735294117647059,0.176470588235294
"ADVINCULA, ALEX L.",46,52,37,15,6,46,12,0.711538461538462,0.288461538461538,0.115384615384615,0.884615384615385,0.230769230769231
"AGARAO, BENJAMIN JR. C.",49,60,56,4,1,59,14,0.933333333333333,0.0666666666666667,0.0166666666666667,0.983333333333333,0.233333333333333
"AGGABAO, GIORGIDI B.",90,108,91,17,59,49,19,0.842592592592593,0.157407407407407,0.546296296296296,0.453703703703704,0.175925925925926
"AGLIPAY, EMMELINE Y.",68,94,94,0,32,62,20,1,0,0.340425531914894,0.659574468085106,0.212765957446809
"AGYAO, MANUEL S.",43,49,26,23,21,28,6,0.530612244897959,0.469387755102041,0.428571428571429,0.571428571428571,0.122448979591837
"ALBANO, RODOLFO III T.",35,24,21,3,2,22,6,0.875,0.125,0.0833333333333333,0.916666666666667,0.25
"ALCALA, VICENTE ""KULIT"" J.",26,28,25,3,2,26,4,0.892857142857143,0.107142857142857,0.0714285714285714,0.928571428571429,0.142857142857143
"ALEJANO, GARY C.",128,182,179,3,50,132,22,0.983516483516483,0.0164835164835165,0.274725274725275,0.725274725274725,0.120879120879121
"ALIPING, NICASIO JR. M.",112,142,112,30,20,121,40,0.788732394366197,0.211267605633803,0.140845070422535,0.852112676056338,0.28169014084507
"ALMARIO, THELMA Z.",61,66,63,3,2,64,21,0.954545454545455,0.0454545454545455,0.0303030303030303,0.96969696969697,0.318181818181818
"ALMONTE, JORGE T.",60,67,51,16,13,54,16,0.761194029850746,0.238805970149254,0.194029850746269,0.805970149253731,0.238805970149254
"ALVAREZ, FRANCISCO JOSEF GEORGE E.",50,65,36,29,22,43,13,0.553846153846154,0.446153846153846,0.338461538461538,0.661538461538462,0.2
"ALVAREZ, MERCEDES KHO",44,44,40,4,7,37,12,0.909090909090909,0.0909090909090909,0.159090909090909,0.840909090909091,0.272727272727273
"AMANTE, ERLPE JOHN M.",62,79,52,27,40,39,13,0.658227848101266,0.341772151898734,0.506329113924051,0.493670886075949,0.164556962025316
"AMATONG, ISAGANI S.",61,62,43,19,14,48,13,0.693548387096774,0.306451612903226,0.225806451612903,0.774193548387097,0.209677419354839
"AMATONG, ROMMEL C.",22,26,11,15,8,18,0,0.423076923076923,0.576923076923077,0.307692307692308,0.692307692307692,0
"ANDAYA, ROLANDO JR. G.",24,29,27,2,18,11,3,0.931034482758621,0.0689655172413793,0.620689655172414,0.379310344827586,0.103448275862069
"ANGARA-CASTILLO, BELLAFLOR J.",52,64,61,3,25,39,15,0.953125,0.046875,0.390625,0.609375,0.234375
"ANGPING, MARIA ZENAIDA B.",70,59,56,2,1,57,18,0.949152542372881,0.0338983050847458,0.0169491525423729,0.966101694915254,0.305084745762712
"ANTONINO, MAGNOLIA C.",72,93,85,8,20,73,21,0.913978494623656,0.0860215053763441,0.21505376344086,0.78494623655914,0.225806451612903
"ANTONIO, PATRICIO T.",10,10,10,0,1,9,5,1,0,0.1,0.9,0.5
"APOSTOL, SERGIO A. F.",64,86,63,23,45,41,6,0.732558139534884,0.267441860465116,0.523255813953488,0.476744186046512,0.0697674418604651
"ARAGONES, SOL",72,87,80,8,23,64,12,0.919540229885057,0.0919540229885057,0.264367816091954,0.735632183908046,0.137931034482759
"ARBISON, MARYAM N.",42,41,31,10,6,35,6,0.75609756097561,0.24390243902439,0.146341463414634,0.853658536585366,0.146341463414634
"ARENAS, ROSE MARIE ""BABY"" J.",80,84,78,6,6,78,22,0.928571428571429,0.0714285714285714,0.0714285714285714,0.928571428571429,0.261904761904762
"ARNAIZ, GEORGE P.",84,101,76,25,28,72,13,0.752475247524752,0.247524752475248,0.277227722772277,0.712871287128713,0.128712871287129
"ARROYO, DIOSDADO MACAPAGAL",60,239,227,12,170,68,21,0.949790794979079,0.0502092050209205,0.711297071129707,0.284518828451883,0.0878661087866109
"ASILO, BENJAMIN D.",52,47,45,2,0,47,1,0.957446808510638,0.0425531914893617,0,1,0.0212765957446809
"ATIENZA, JOSE JR. L.",91,98,91,7,21,77,11,0.928571428571429,0.0714285714285714,0.214285714285714,0.785714285714286,0.112244897959184
"AUMENTADO, ERICO ARISTOTLE",67,81,60,21,20,61,14,0.740740740740741,0.259259259259259,0.246913580246914,0.753086419753086,0.172839506172839
"BAG-AO, KAKA J.",69,60,58,2,15,45,7,0.966666666666667,0.0333333333333333,0.25,0.75,0.116666666666667
"BAGATSING, AMADO S.",49,61,57,4,22,39,3,0.934426229508197,0.0655737704918033,0.360655737704918,0.639344262295082,0.0491803278688525
"BALINDONG, PANGALIAN",42,34,27,7,7,27,1,0.794117647058823,0.205882352941176,0.205882352941176,0.794117647058823,0.0294117647058824
"BANAL, JORGE 'BOLET'",59,49,42,7,1,48,10,0.857142857142857,0.142857142857143,0.0204081632653061,0.979591836734694,0.204081632653061
"BARCELONA-REYES, CATHERINE M.D.",40,42,24,18,19,23,8,0.571428571428571,0.428571428571429,0.452380952380952,0.547619047619048,0.19047619047619
"BARZAGA, ELPIDIO JR. F.",32,26,17,9,7,19,2,0.653846153846154,0.346153846153846,0.269230769230769,0.730769230769231,0.0769230769230769
"BATAOIL, LEOPOLDO N.",166,190,168,22,31,159,30,0.884210526315789,0.115789473684211,0.163157894736842,0.836842105263158,0.157894736842105
"BATOCABE, RODEL M.",13,417,408,8,1,415,,0.97841726618705,0.0191846522781775,0.00239808153477218,0.995203836930456,
"BAUTISTA, FRANKLIN P.",22,19,17,2,1,18,4,0.894736842105263,0.105263157894737,0.0526315789473684,0.947368421052632,0.210526315789474
"BELLO, SILVESTRE ""BEBOT""",127,138,122,16,16,122,27,0.884057971014493,0.115942028985507,0.115942028985507,0.884057971014493,0.195652173913043
"BELLO, WALDEN",121,128,125,3,22,106,15,0.9765625,0.0234375,0.171875,0.828125,0.1171875
"BELMONTE, FELICIANO JR. R.",132,68,61,7,19,49,37,0.897058823529412,0.102941176470588,0.279411764705882,0.720588235294118,0.544117647058823
"BELMONTE, JOSE CHRISTOPHER Y.",134,140,120,20,25,115,33,0.857142857142857,0.142857142857143,0.178571428571429,0.821428571428571,0.235714285714286
"BELMONTE, VICENTE JR. F.",45,46,34,12,14,32,7,0.739130434782609,0.260869565217391,0.304347826086957,0.695652173913043,0.152173913043478
