"dates_filed","house_bill_no","full_title","short_title","republic_act_no","republic_act_title","significance","category","author","status","legislation","authorship","enacted_into_law","date_of_enactment"
2013-07-01,"HB00019","AN ACT REQUIRING FULL DISCLOSURE OF ALL INFORMATION ON FISCAL MANAGEMENT FROM ALL NATIONAL GOVERNMENT DEPARTMENTS, BUREAUS, AGENCIES AND OTHER INSTRUMENTALITIES, INCLUDING GOVERNMENT-OWNED OR CONTROLLED CORPORATIONS, AND THEIR SUBSIDIARIES, AND LOCAL GOVERNMENTS, AND PROVIDING PENALTIES FOR VIOLATIONS THEREOF AND FOR OTHER PURPOSES"," Full Disclosure Act Of 2013",,,"National","PUBLIC INFORMATION","GERONA-ROBREDO, MARIA LEONOR","Substituted by HB06467, Mother Bill Status: Pending With Rules (Included in OB on 2016-05-23)","bill","primary author","no",
2013-07-01,"HB00050","AN ACT ESTABLISHING AT LEAST ONE (1) SPECIAL EDUCATION CENTER FOR EACH SCHOOL DIVISION AND AT LEAST THREE (3) SPED CENTERS IN BIG SCHOOL DIVISIONS FOR CHILDREN WITH SPECIAL NEEDS (CSN), PROVIDING GUIDELINES THEREFOR, AND FOR OTHER PURPOSES"," Special Education Act",,,"National","WELFARE OF CHILDREN","VILLARICA, LINABELLE RUTH R.","Substituted by HB04558, Mother Bill Status: Approved by the House on 2014-06-09, transmitted to the Senate on 2014-06-10 and received by the Senate on 2014-06-10","bill","co-author","no",
2013-07-01,"HB00108","AN ACT INSTITUTING A NATIONAL LAND USE AND MANAGEMENT POLICY, PROVIDING THE IMPLEMENTING MECHANISMS THEREFOR, AND FOR OTHER PURPOSES"," National Land Use And Management Act Of The Philippines",,,"National","LAND USE","BAG-AO, KAKA J.","Substituted by HB04382, Mother Bill Status: Approved by the House on 2014-06-02, transmitted to the Senate on 2014-06-04 and received by the Senate on 2014-06-04","bill","co-author","no",
2013-07-01,"HB00109","AN ACT TO REFORM AND STRENGTHEN THE SANGGUNIANG KABATAAN (SK), AMENDING FOR THAT PURPOSE REPUBLIC ACT NO. 7160, OTHERWISE KNOWN AS THE LOCAL GOVERNMENT CODE OF THE PHILIPPINES AND FOR OTHER PURPOSES"," The Sangguniang Kabataan Reform And Empowerment Act","RA10742",,"National","LOCAL GOVERNMENT","BAG-AO, KAKA J.","Substituted by HB06043, Mother Bill Status: Republic Act RA10742 enacted on 2016-01-15","bill","co-author","yes",2016-01-15
2013-07-01,"HB00110","AN ACT PROHIBITING DISCRIMINATION ON THE BASIS OF SEXUAL ORIENTATION AND GENDER IDENTITY AND PROVIDING PENALTIES THEREFOR"," Anti-discrimination Act",,,"National","WOMEN AND GENDER EQUALITY","BAG-AO, KAKA J.","Substituted by HB05687, Mother Bill Status: Pending With Rules (Included in OB on 2015-05-04)","bill","co-author","no",
2013-07-01,"HB00191","AN ACT CREATING THE DEPARTMENT OF OVERSEAS WORKERS, RATIONALIZING THE ORGANIZATION AND FUNCTIONS OF GOVERNMENT AGENCIES RELATED TO OVERSEAS EMPLOYMENT, AND FOR OTHER PURPOSES"," Department Of Overseas Workers Act",,,"National","GOVERNMENT REORGANIZATIONS","ARENAS, ROSE MARIE ""BABY"" J.","Pending with the Committee on GOVERNMENT REORGANIZATION since 2013-07-23","bill","co-author","no",
2013-07-01,"HB00219","AN ACT INSTITUTIONALIZING INDUSTRY CLUSTER-BASED PROGRAMS AND PROJECTS THROUGH INTER-LOCAL COOPERATION AND PEOPLE’S PARTICIPATION, AND FOR OTHER PURPOSES"," People’s Participation Industry Cluster-based Programs And Projects Act",,,"National","PEOPLE","CRUZ-GONZALES, CINCHONA","Substituted by HB04032, Mother Bill Status: Approved by the House on 2014-05-05, transmitted to the Senate on 2014-05-07 and received by the Senate on 2014-05-07","bill","co-author","no",
2013-07-01,"HB00478","AN ACT ESTABLISHING AT LEAST ONE (1) SPECIAL EDUCATION (SPED) CENTER FOR EACH SCHOOL DIVISION AND AT LEAST THREE (3) SPED CENTERS IN BIG SCHOOL DIVISIONS FOR CHILDREN WITH SPECIAL NEEDS (CSN), PROVIDING GUIDELINES THEREFOR AND FOR OTHER PURPOSES",,,,"National","WELFARE OF CHILDREN","BIAZON, RODOLFO G.","Substituted by HB04558, Mother Bill Status: Approved by the House on 2014-06-09, transmitted to the Senate on 2014-06-10 and received by the Senate on 2014-06-10","bill","co-author","no",
2013-07-01,"HB00546","AN ACT ESTABLISHING AT LEAST ONE (1) SPECIAL EDUCATION (SPED) CENTER FOR EACH SCHOOL DIVISION AND AT LEAST THREE (3) SPED CENTERS IN BIG SCHOOL DIVISIONS FOR CHILDREN WITH SPECIAL NEEDS (CSN), PROVIDING GUIDELINES THEREFOR AND FOR OTHER PURPOSES
",,,,"National","WELFARE OF CHILDREN","MERCADO-REVILLA, LANI","Substituted by HB04558, Mother Bill Status: Approved by the House on 2014-06-09, transmitted to the Senate on 2014-06-10 and received by the Senate on 2014-06-10","bill","co-author","no",
2013-07-01,"HB00554","AN ACT PROVIDING FREE AND SUITABLE PUBLIC EDUCATION FOR DIFFERENTLY-ABLED CHILDREN AND APPROPRIATING FUNDS THEREFOR",,,,"National","WELFARE OF CHILDREN","MERCADO-REVILLA, LANI","Substituted by HB04558, Mother Bill Status: Approved by the House on 2014-06-09, transmitted to the Senate on 2014-06-10 and received by the Senate on 2014-06-10","bill","co-author","no",
2013-07-01,"HB00557","AN ACT ESTABLISHING AT LEAST ONE (1) SPECIAL EDUCATION (SPED) CENTER FOR EACH SCHOOL DIVISION AND AT LEAST THREE (3) SPED CENTERS IN BIG SCHOOL DIVISIONS FOR CHILDREN WITH SPECIAL NEEDS (CSN), PROVIDING GUIDELINES THEREFOR AND FOR OTHER PURPOSES",,,,"National","WELFARE OF CHILDREN","AGLIPAY, EMMELINE Y.","Substituted by HB04558, Mother Bill Status: Approved by the House on 2014-06-09, transmitted to the Senate on 2014-06-10 and received by the Senate on 2014-06-10","bill","co-author","no",
2013-07-01,"HB00694","AN ACT INCREASING THE BURIAL ASSISTANCE FOR VETERANS FROM TEN THOUSAND (P10,000.00) TO TWENTY THOUSAND PESOS (P20,000.00), AMENDING FOR THE PURPOSE REPUBLIC ACT NO. 6948, AS AMENDED, OTHERWISE KNOWN AS “AN ACT STANDARDIZING AND UPGRADING THE BENEFITS FOR MILITARY VETERANS AND THEIR DEPENDENTS","  Increasing The Burial Assistance For Veterans From Ten Thousand ( P10,000.00) To Twenty Thousand Pesos ( P20,000.00)","RA10649"," AN ACT INCREASING THE BURIAL ASSISTANCE FOR VETERANS FROM TEN THOUSAND PESOS (P10,000.00) TO TWENTY THOUSAND PESOS (P20,000.00), AMENDING FOR THE PURPOSE REPUBLIC ACT NO. 6948, AS AMENDED, OTHERWISE KNOWN AS “AN ACT STANDARDIZING AND UPGRADING THE BENEFITS FOR MILITARY VETERANS AND THEIR DEPENDENTS"" AND APPROPRIATING FUNDS THEREFOR","National","VETERANS AFFAIRS AND WELFARE","ROMAN, HERMINIA B.","Republic Act RA10649 enacted on 2014-11-27","bill","co-author","yes",2014-11-27
2013-07-09,"HB01214","AN ACT REQUIRING THE USE OF FILIPINO SIGN LANGUAGE INSETS FOR LOCAL NEWS PROGRAMS, AMENDING FOR THE PURPOSE SECTION 22 OF REPUBLIC ACT NO. 7277, AS AMENDED, OTHERWISE KNOWN AS THE 'MAGNA CARTA FOR PERSONS WITH DISABILITIES (PWDs)'"," Requiring The Use Of Filipino Sign Language Insets For Local News Programs",,,"National","PUBLIC INFORMATION","RODRIGUEZ, RUFUS B.","Approved by the House on 2014-02-03, transmitted to the Senate on 2014-02-04 and received by the Senate on 2014-02-04","bill","co-author","no",
